rainfall_mm,avg_temp_c,min_temp_c,max_temp_c,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,fertilizer_kg_ha,irrigation_type,season,rice_variety,region,yield_ton_per_ha
749.1,31.8,25.3,41.3,6.9,133.5,57.3,10.0,163.9,Rainfed,Kharif,Swarna,Punjab,4.5
1901.4,21.4,16.1,31.1,5.94,158.6,117.3,46.5,167.2,Rainfed,Kharif,MTU1010,Punjab,11.78
1464.0,24.4,21.1,28.4,5.48,83.4,98.0,32.9,124.9,Borewell,Kharif,Basmati,Punjab,6.11
1197.3,33.9,26.3,39.8,6.66,52.1,95.7,77.9,327.4,Borewell,Kharif,IR64,West Bengal,8.22
312.0,29.5,21.6,38.5,7.09,57.4,70.0,104.9,41.4,Borewell,Kharif,Swarna,Andhra Pradesh,5.5
312.0,36.7,31.5,43.9,5.39,125.5,55.3,134.8,213.2,Borewell,Kharif,IR64,Tamil Nadu,4.39
116.2,27.7,21.6,36.6,5.55,102.2,107.4,48.7,183.3,Rainfed,Kharif,Swarna,Punjab,0.26
1732.4,35.7,30.4,44.8,6.74,87.6,96.5,8.1,220.5,Rainfed,Rabi,IR64,Andhra Pradesh,6.49
1202.2,28.1,23.5,34.7,7.88,36.5,62.0,0.6,20.2,Rainfed,Rabi,MTU1010,Andhra Pradesh,0.65
1416.1,37.6,34.2,43.8,5.25,157.6,32.5,135.1,269.5,Rainfed,Kharif,IR64,West Bengal,6.46
41.2,37.3,32.0,44.0,6.79,140.6,17.7,140.5,5.4,Rainfed,Rabi,IR64,Punjab,0.57
1939.8,25.9,18.8,33.8,7.67,25.3,66.3,16.2,211.1,Canal,Kharif,Swarna,Punjab,7.12
1664.9,35.9,32.9,42.1,6.12,66.1,35.5,1.6,106.2,Canal,Kharif,Swarna,Punjab,6.47
424.7,35.3,29.3,43.9,5.61,97.6,31.7,128.0,125.2,Rainfed,Rabi,Swarna,West Bengal,4.24
363.6,23.8,16.4,33.2,6.83,81.8,12.7,102.5,295.4,Rainfed,Kharif,Basmati,West Bengal,4.84
366.8,31.2,27.1,36.9,4.61,71.6,4.1,89.0,394.4,Rainfed,Rabi,MTU1010,Andhra Pradesh,3.27
608.5,21.3,17.4,31.1,5.76,129.4,94.0,85.3,190.1,Rainfed,Kharif,IR64,Tamil Nadu,7.06
1049.5,35.1,28.2,42.8,5.4,9.8,13.0,123.8,267.8,Canal,Kharif,Swarna,Andhra Pradesh,3.94
863.9,23.1,18.9,32.4,5.29,84.9,106.6,46.9,99.4,Rainfed,Rabi,Basmati,Andhra Pradesh,4.44
582.5,21.3,17.3,25.9,5.13,47.2,25.7,62.3,221.6,Rainfed,Kharif,IR64,West Bengal,3.66
1223.7,27.2,22.3,32.7,7.08,15.2,91.2,12.5,40.0,Rainfed,Kharif,IR64,Punjab,1.08
279.0,30.4,25.4,36.3,7.84,83.7,98.8,90.6,340.1,Canal,Rabi,Basmati,Andhra Pradesh,4.73
584.3,35.4,28.0,41.2,5.85,30.8,95.1,153.7,182.3,Rainfed,Rabi,Swarna,Tamil Nadu,4.5
732.7,37.5,31.4,42.6,4.67,46.5,104.7,45.4,144.6,Canal,Kharif,Basmati,Andhra Pradesh,4.36
912.1,27.9,22.9,37.1,7.02,91.3,40.8,148.7,205.4,Rainfed,Kharif,Basmati,Andhra Pradesh,7.89
1570.4,21.1,15.4,27.6,6.38,175.3,118.3,116.7,365.2,Canal,Kharif,IR64,Punjab,12.88
399.3,33.5,25.7,43.3,7.03,123.2,33.6,37.4,310.6,Canal,Kharif,MTU1010,Tamil Nadu,5.56
1028.5,30.2,26.6,37.7,6.77,50.3,112.1,106.1,61.1,Canal,Rabi,MTU1010,Andhra Pradesh,7.41
